,id,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_clean
id,1.0,0.33429505817371824,0.08216845314260773,-0.054924449197752696,0.12915663662705273,-0.0510957460871265,-0.41636194688763223,0.15080791462792448,0.10353617131826572,0.0538881891124328,-0.0965858579969072,0.12915663662705273
host_id,0.33429505817371824,1.0,-0.03348912427122588,-0.06062116200694179,0.080705255216301,-0.04561798870483153,-0.20267319048070634,0.009488143413840926,0.006247957378807507,-0.001950909626245288,-0.05892804865507561,0.080705255216301
latitude,0.08216845314260773,-0.03348912427122588,1.0,0.23523197227558823,-0.020729558507153776,0.005503396818115875,0.1613631472343612,0.26843700826375494,-0.14681526642779275,0.1639958024354826,0.22350363350212346,-0.020729558507153776
longitude,-0.054924449197752696,-0.06062116200694179,0.23523197227558823,1.0,0.05605118161326497,0.036521730176947285,0.0756706888161671,0.022439384281768667,0.021718453013678172,0.01221601200226005,0.05092096953558151,0.05605118161326497
price,0.12915663662705273,0.080705255216301,-0.020729558507153776,0.05605118161326497,1.0,-0.048979859650909854,-0.07758856891943312,-0.0663212877651832,0.02571434958816371,0.09310829038445141,-0.08702245578396567,1.0
minimum_nights,-0.0510957460871265,-0.04561798870483153,0.005503396818115875,0.036521730176947285,-0.048979859650909854,1.0,-0.13050882050728882,-0.19950735664332722,0.0360256605376486,0.011024318901599993,-0.18520905489106654,-0.048979859650909854
number_of_reviews,-0.41636194688763223,-0.20267319048070634,0.1613631472343612,0.0756706888161671,-0.07758856891943312,-0.13050882050728882,1.0,0.6145124852536439,-0.17445292789990305,0.031707473629323434,0.6951674961416338,-0.07758856891943312
reviews_per_month,0.15080791462792448,0.009488143413840926,0.26843700826375494,0.022439384281768667,-0.0663212877651832,-0.19950735664332722,0.6145124852536439,1.0,-0.1723618262671738,0.11352570179949631,0.8544186604307032,-0.0663212877651832
calculated_host_listings_count,0.10353617131826572,0.006247957378807507,-0.14681526642779275,0.021718453013678172,0.02571434958816371,0.0360256605376486,-0.17445292789990305,-0.1723618262671738,1.0,-0.09873323143727156,-0.1809815265274888,0.02571434958816372
availability_365,0.0538881891124328,-0.001950909626245288,0.1639958024354826,0.01221601200226005,0.09310829038445141,0.011024318901599993,0.031707473629323434,0.11352570179949631,-0.09873323143727156,1.0,0.07686410635678483,0.09310829038445141
number_of_reviews_ltm,-0.0965858579969072,-0.05892804865507561,0.22350363350212346,0.05092096953558151,-0.08702245578396567,-0.18520905489106654,0.6951674961416338,0.8544186604307032,-0.1809815265274888,0.07686410635678483,1.0,-0.08702245578396567
price_clean,0.12915663662705273,0.080705255216301,-0.020729558507153776,0.05605118161326497,1.0,-0.048979859650909854,-0.07758856891943312,-0.0663212877651832,0.02571434958816372,0.09310829038445141,-0.08702245578396567,1.0
