variable_name,data_type,n_unique,n_missing,pct_missing,min,max,range,mean,median,std,precision,mode
id,continuous,5723.0,0,0.0,61878,1490255976511423868,1.490255976511362e+18,8.87572344692356e+17,1.0804654920299668e+18,5.421766470311634e+17,0.0,61878
listing_url,discrete_categorical,5723.0,0,0.0,https://www.airbnb.com/rooms/1000131744901729645,https://www.airbnb.com/rooms/999346462727587735,,,,,,https://www.airbnb.com/rooms/1000131744901729645
scrape_id,discrete_numeric,1.0,0,0.0,20250819035519,20250819035519,0.0,20250819035519.0,20250819035519.0,0.0,0.0,20250819035519
last_scraped,discrete_categorical,1.0,0,0.0,2025-08-19,2025-08-19,,,,,,2025-08-19
source,discrete_categorical,2.0,0,0.0,city scrape,previous scrape,,,,,,city scrape
name,discrete_categorical,5444.0,0,0.0,! Home In The Heart Of Dallas !,😌Spacious & Serene🌙 w/ Hot Tub+Arcade+Ping-Pong+Fi...,,,,,,"Stunning Downtown Apt | Pool, Laundry, Parking"
description,discrete_categorical,4676.0,32,0.56,"""My first time staying in an Airbnb and my experie...",🛏️ Sleeping & Comfort • Queen bed with new pillows...,,,,,,Keep it simple at this peaceful and centrally-loca...
neighborhood_overview,discrete_categorical,1690.0,3160,55.22,"""Desirable Downtown Dallas Airbnb with Free Parkin...","📍Near LTV Towers in Dallas, Texas, there are plent...",,,,,,"Dallas is one of the largest cities in America, co..."
picture_url,discrete_categorical,5633.0,0,0.0,https://a0.muscache.com/pictures/0017d99e-8968-463...,https://a0.muscache.com/pictures/prohost-api/Hosti...,,,,,,https://a0.muscache.com/pictures/hosting/Hosting-1...
host_id,continuous,2435.0,0,0.0,43422,712894118,712850696.0,292185660.7052245,263502162.0,221422269.5552395,0.0,108514926
host_url,discrete_categorical,2435.0,0,0.0,https://www.airbnb.com/users/show/100371487,https://www.airbnb.com/users/show/998462,,,,,,https://www.airbnb.com/users/show/108514926
host_name,discrete_categorical,1626.0,0,0.0,A-Solutions BnB,Zykeisha,,,,,,Zachi
host_since,discrete_categorical,1859.0,0,0.0,2009-10-05,2025-08-11,,,,,,2016-12-26
host_location,discrete_categorical,224.0,1659,28.99,"Addison, TX","Écully, France",,,,,,"Dallas, TX"
host_about,discrete_categorical,1103.0,2758,48.19,I love to garden and cook; I keep an herb and smal...,“Travel is about the gorgeous feeling of teetering...,,,,,,"Welcome to Dallas! As a lifelong resident, I speci..."
host_response_time,discrete_categorical,4.0,515,9.0,a few days or more,within an hour,,,,,,within an hour
host_response_rate,discrete_categorical,41.0,515,9.0,0%,99%,,,,,,100%
host_acceptance_rate,discrete_categorical,79.0,348,6.08,0%,99%,,,,,,100%
host_is_superhost,discrete_categorical,2.0,290,5.07,f,t,,,,,,f
host_thumbnail_url,discrete_categorical,2333.0,0,0.0,https://a0.muscache.com/defaults/user_pic-50x50.pn...,https://z1.muscache.cn/im/pictures/user/617a3902-0...,,,,,,https://a0.muscache.com/im/pictures/user/96ee849f-...
host_picture_url,discrete_categorical,2333.0,0,0.0,https://a0.muscache.com/defaults/user_pic-225x225....,https://z1.muscache.cn/im/pictures/user/617a3902-0...,,,,,,https://a0.muscache.com/im/pictures/user/96ee849f-...
host_neighbourhood,discrete_categorical,285.0,505,8.82,544 Place,Wolf Creek,,,,,,Old East Dallas
host_listings_count,continuous,93.0,0,0.0,1,2945,2944.0,77.87925912982702,6.0,330.6800084864419,0.0,1
host_total_listings_count,continuous,116.0,0,0.0,1,8274,8273.0,146.63515638651057,8.0,696.13320119106,0.0,1
host_verifications,discrete_categorical,7.0,0,0.0,"['email', 'phone', 'work_email']",[],,,,,,"['email', 'phone']"
host_has_profile_pic,discrete_categorical,2.0,0,0.0,f,t,,,,,,t
host_identity_verified,discrete_categorical,2.0,0,0.0,f,t,,,,,,t
neighbourhood,discrete_categorical,1.0,3160,55.22,Neighborhood highlights,Neighborhood highlights,,,,,,Neighborhood highlights
